category_value,count,positive_rate,split,column
0,14513,0.2605939502514987,train,Cat:Thematic
1,834,0.4088729016786571,train,Cat:Thematic
0,13723,0.24528164395540333,train,Cat:Strategy
1,1624,0.4661330049261084,train,Cat:Strategy
0,12876,0.23268095681888784,train,Cat:War
1,2471,0.45609065155807366,train,Cat:War
0,13740,0.2777292576419214,train,Cat:Family
1,1607,0.1910392034847542,train,Cat:Family
0,15119,0.26847013691381705,train,Cat:CGS
1,228,0.2807017543859649,train,Cat:CGS
0,14561,0.27484376073071903,train,Cat:Abstract
1,786,0.15394402035623408,train,Cat:Abstract
0,14901,0.27186094892960205,train,Cat:Party
1,446,0.16143497757847533,train,Cat:Party
0,14725,0.279320882852292,train,Cat:Childrens
1,622,0.01607717041800643,train,Cat:Childrens
0,3076,0.26788036410923277,validation,Cat:Thematic
1,213,0.40375586854460094,validation,Cat:Thematic
0,2947,0.2514421445537835,validation,Cat:Strategy
1,342,0.49415204678362573,validation,Cat:Strategy
0,2752,0.2394622093023256,validation,Cat:War
1,537,0.46741154562383613,validation,Cat:War
0,2921,0.28996918863402943,validation,Cat:Family
1,368,0.17119565217391305,validation,Cat:Family
0,3252,0.2752152521525215,validation,Cat:CGS
1,37,0.40540540540540543,validation,Cat:CGS
0,3126,0.2821497120921305,validation,Cat:Abstract
1,163,0.17177914110429449,validation,Cat:Abstract
0,3192,0.2807017543859649,validation,Cat:Party
1,97,0.14432989690721648,validation,Cat:Party
0,3171,0.2860296436455377,validation,Cat:Childrens
1,118,0.025423728813559324,validation,Cat:Childrens
0,3112,0.24967866323907456,test,Cat:Thematic
1,177,0.480225988700565,test,Cat:Thematic
0,2936,0.23433242506811988,test,Cat:Strategy
1,353,0.49291784702549574,test,Cat:Strategy
0,2767,0.22768341163715214,test,Cat:War
1,522,0.4444444444444444,test,Cat:War
0,2948,0.2747625508819539,test,Cat:Family
1,341,0.15249266862170088,test,Cat:Family
0,3251,0.26299600123039063,test,Cat:CGS
1,38,0.18421052631578946,test,Cat:CGS
0,3123,0.2680115273775216,test,Cat:Abstract
1,166,0.15060240963855423,test,Cat:Abstract
0,3192,0.2666040100250627,test,Cat:Party
1,97,0.1134020618556701,test,Cat:Party
0,3148,0.2722363405336722,test,Cat:Childrens
1,141,0.03546099290780142,test,Cat:Childrens
